,location,total_sqft,bath,balcony,bhk,price
3868,7th Phase JP Nagar,1035.0,2.0,1.0,2,39.33
3869,Channasandra,1065.0,2.0,1.0,2,40.47
3870,Bannerghatta Road,1532.5,3.0,0.0,3,84.29
3871,Hormavu,1093.0,2.0,1.0,2,32.78
3872,Anandapura,1250.0,2.0,2.0,2,45.0
3873,Marathahalli,1680.0,3.0,3.0,3,105.0
3874,Nagarbhavi,1146.0,2.0,1.0,2,50.0
3875,Gottigere,1435.0,2.0,3.0,3,62.0
3876,Devanahalli,658.0,1.0,0.0,1,26.91
3877,Marathahalli,1910.0,3.0,3.0,3,119.0
3878,Yelahanka,1610.0,4.0,2.0,3,85.0
3879,Hulimavu,1127.0,2.0,1.0,2,65.0
3880,Mysore Road,1155.0,2.0,1.0,2,51.0
3881,other,2200.0,4.0,2.0,3,160.0
3882,Billekahalli,2400.0,3.0,1.0,3,150.0
3883,Chandapura,876.0,2.0,2.0,2,29.5
3884,Kadugodi,1314.0,2.0,3.0,2,83.0
3885,Rachenahalli,690.0,1.0,1.0,1,39.8
3886,Bommasandra,920.0,2.0,1.0,2,37.2
3887,Sarjapur  Road,1850.0,3.0,3.0,3,140.0
3888,Electronic City,1073.0,2.0,2.0,2,60.0
3889,Kalyan nagar,1198.0,2.0,1.0,2,65.0
3890,other,1900.0,3.0,3.0,3,155.0
3891,Ramagondanahalli,1910.0,3.0,2.0,3,142.0
3892,Mysore Road,1003.0,2.0,1.0,2,43.0
3893,Sarakki Nagar,2400.0,4.0,2.0,4,358.0
3894,other,1200.0,1.0,2.0,2,95.0
3895,Hosur Road,1689.0,3.0,1.0,3,103.0
3896,Electronic City Phase II,1031.0,2.0,1.0,2,53.0
3897,other,1350.0,4.0,2.0,4,225.0
3898,Hennur Road,1250.0,2.0,1.0,3,77.88
3899,other,1100.0,2.0,2.0,2,110.0
3900,Electronic City,1500.0,2.0,1.0,3,78.0
3901,other,1942.0,3.0,1.0,3,155.0
3902,Haralur Road,1985.0,3.0,2.0,3,130.0
3903,Sarjapur  Road,950.0,1.0,0.0,1,39.9
3904,other,1200.0,4.0,2.0,3,80.0
3905,Green Glen Layout,1752.0,3.0,2.0,3,105.0
3906,Abbigere,1200.0,3.0,2.0,4,120.0
3907,Old Madras Road,1480.0,2.0,2.0,3,84.0
3908,Sarjapur  Road,1826.0,3.0,2.0,3,130.0
3909,8th Phase JP Nagar,1035.0,2.0,1.0,2,39.33
3910,Kasavanhalli,1667.0,3.0,2.0,3,92.0
3911,Thanisandra,934.0,2.0,2.0,2,55.0
3912,Hosur Road,3600.0,5.0,3.0,5,180.0
3913,Uttarahalli,1280.0,2.0,2.0,3,60.0
3914,other,1515.0,3.0,3.0,3,90.0
3915,Thigalarapalya,1830.0,4.0,2.0,3,150.0
3916,BTM Layout,935.0,2.0,1.0,2,51.5
3917,Jakkur,2197.0,3.0,2.0,3,136.0
3918,Brookefield,1410.0,2.0,0.0,3,80.0
3919,Jakkur,1125.0,2.0,2.0,2,65.0
3920,Thubarahalli,1200.0,2.0,2.0,2,79.0
3921,Seegehalli,920.0,2.0,1.0,2,27.0
3922,Yelahanka,651.0,1.0,1.0,1,17.5
3923,Chikkabanavar,600.0,1.0,2.0,2,25.0
3924,Chandapura,645.0,1.0,1.0,1,16.45
3925,Electronics City Phase 1,1190.0,2.0,1.0,2,68.0
3926,KR Puram,1200.0,1.0,0.0,2,65.0
3927,Yelahanka New Town,500.0,2.0,1.0,1,24.0
3928,Bommasandra Industrial Area,1250.0,3.0,3.0,3,50.0
3929,Ambalipura,3300.0,4.0,2.0,4,329.0
3930,Rajaji Nagar,1357.0,2.0,1.0,2,130.0
3931,Hosakerehalli,925.0,2.0,1.0,2,46.5
3932,8th Phase JP Nagar,909.0,2.0,1.0,2,40.9
3933,Brookefield,1100.0,2.0,1.0,2,55.0
3934,Malleshwaram,3000.0,5.0,2.0,4,815.0
3935,Vidyaranyapura,1100.0,2.0,1.0,2,54.0
3936,Subramanyapura,975.0,2.0,1.0,2,65.0
3937,Raja Rajeshwari Nagar,1306.0,2.0,2.0,2,44.17
3938,other,1200.0,4.0,1.0,4,95.0
3939,Kalena Agrahara,610.0,1.0,1.0,1,39.0
3940,Ramamurthy Nagar,1125.0,2.0,1.0,2,47.0
3941,Bhoganhalli,1447.0,2.0,1.0,2,75.97
3942,Horamavu Banaswadi,1272.0,2.0,2.0,2,51.5
3943,1st Phase JP Nagar,840.0,2.0,2.0,1,50.0
3944,Hennur Road,2502.0,4.0,2.0,4,180.0
3945,Rayasandra,583.0,1.0,1.0,1,26.9
3946,Kanakapura,2200.0,3.0,1.0,3,121.0
3947,Whitefield,750.0,1.0,1.0,1,51.0
3948,other,1200.0,1.0,0.0,1,69.0
3949,Hormavu,1260.0,2.0,2.0,2,35.0
3950,Hosakerehalli,2480.0,4.0,1.0,3,260.0
3951,Vishwapriya Layout,1250.0,3.0,2.0,3,38.0
3952,Kaggadasapura,1500.0,3.0,0.0,3,75.0
3953,Banashankari Stage V,1510.0,3.0,3.0,3,47.57
3954,7th Phase JP Nagar,1187.0,2.0,1.0,2,59.0
3955,Kundalahalli,1120.0,2.0,1.0,2,53.76
3956,other,1717.0,3.0,3.0,3,99.0
3957,Kasturi Nagar,1100.0,2.0,2.0,2,58.0
3958,other,1200.0,1.0,0.0,1,48.0
3959,Kothanur,1500.0,1.0,0.0,1,75.0
3960,other,4050.0,4.0,1.0,5,600.0
3961,Haralur Road,1255.0,2.0,1.0,3,90.0
3962,5th Phase JP Nagar,1220.0,2.0,3.0,2,88.0
3963,Electronic City Phase II,1065.0,2.0,1.0,2,30.88
3964,Bellandur,1281.0,2.0,2.0,2,87.0
3965,Kaggadasapura,1215.0,2.0,3.0,2,43.0
3966,Ananth Nagar,1200.0,3.0,1.0,4,87.0
3967,Mysore Road,1237.0,2.0,2.0,2,73.0
3968,Lakshminarayana Pura,1300.0,2.0,1.0,2,70.0
3969,Banashankari,1186.0,2.0,3.0,2,65.0
3970,Kengeri,750.0,2.0,1.0,2,35.5
3971,Varthur,1083.0,2.0,2.0,2,28.0
3972,Thanisandra,1056.0,2.0,2.0,2,68.0
3973,Banashankari,1650.0,3.0,2.0,3,101.0
3974,Rayasandra,1198.0,2.0,1.0,2,54.0
3975,Kanakapura,1340.0,2.0,2.0,2,65.0
3976,Giri Nagar,2400.0,6.0,1.0,6,400.0
3977,Talaghattapura,2254.0,3.0,2.0,3,153.0
3978,other,1800.0,5.0,1.0,4,250.0
3979,JP Nagar,820.0,2.0,1.0,2,45.0
3980,Electronic City,1296.0,2.0,2.0,2,65.0
3981,Uttarahalli,1190.0,2.0,1.0,2,53.55
3982,Whitefield,1173.0,2.0,1.0,2,77.0
3983,Sarjapura - Attibele Road,1800.0,3.0,2.0,3,90.0
3984,Sarjapur,913.0,2.0,1.0,2,36.0
3985,Hosur Road,1345.0,2.0,2.0,2,106.0
3986,other,1594.0,3.0,2.0,3,99.0
3987,Haralur Road,1056.0,2.0,1.0,2,60.0
3988,Whitefield,1200.0,3.0,1.0,3,68.4
3989,other,1464.0,2.0,1.0,2,145.0
3990,Gollarapalya Hosahalli,861.0,2.0,0.0,2,36.5
3991,Kundalahalli,1047.0,2.0,1.0,2,82.62
3992,other,1200.0,2.0,0.0,2,75.0
3993,Rajaji Nagar,2300.0,3.0,3.0,3,369.0
3994,Ramamurthy Nagar,1000.0,2.0,1.0,2,62.0
3995,Lingadheeranahalli,1682.0,3.0,1.0,3,113.0
3996,Harlur,1756.0,3.0,2.0,3,131.0
3997,other,4000.0,4.0,2.0,5,1000.0
3998,Vittasandra,1238.0,2.0,1.0,2,67.32
3999,Dasanapura,814.0,2.0,1.0,2,42.0
4000,Dodda Nekkundi,1145.0,2.0,1.0,2,46.5
4001,Varthur,965.0,2.0,1.0,2,34.0
4002,1st Phase JP Nagar,1590.0,3.0,3.0,3,131.0
4003,Begur Road,644.0,1.0,1.0,1,40.0
4004,Indira Nagar,1260.0,2.0,2.0,2,100.0
4005,Rayasandra,1555.0,3.0,2.0,3,75.17
4006,other,2500.0,4.0,1.0,4,450.0
4007,Kaggadasapura,1225.0,2.0,2.0,2,48.0
4008,Rajaji Nagar,1640.0,3.0,2.0,3,220.0
4009,Thanisandra,1595.0,3.0,1.0,3,110.0
4010,Raja Rajeshwari Nagar,1196.0,2.0,2.0,2,40.44
4011,Yelahanka,1859.0,3.0,1.0,3,108.0
4012,9th Phase JP Nagar,1079.0,2.0,1.0,2,60.0
4013,CV Raman Nagar,1198.0,2.0,2.0,2,60.0
4014,Thigalarapalya,1830.0,4.0,2.0,3,135.0
4015,Banashankari Stage VI,1160.0,2.0,1.0,2,59.0
4016,other,1485.0,2.0,1.0,3,156.0
4017,other,2070.0,3.0,3.0,3,135.0
4018,Kannamangala,957.0,2.0,0.0,2,52.5
4019,Basaveshwara Nagar,2400.0,4.0,1.0,5,310.0
4020,Bannerghatta Road,1268.0,2.0,1.0,2,69.0
4021,Bannerghatta Road,1450.0,2.0,2.0,3,87.0
4022,Uttarahalli,1330.0,2.0,1.0,3,57.0
4023,Horamavu Banaswadi,1272.0,2.0,2.0,2,51.5
4024,Chikkalasandra,1075.0,2.0,1.0,2,46.76
4025,other,800.0,2.0,1.0,2,55.0
4026,Vasanthapura,995.0,2.0,1.0,2,34.82
4027,Haralur Road,1140.0,2.0,1.0,2,42.0
4028,other,1480.0,2.0,2.0,3,125.0
4029,Talaghattapura,2106.0,3.0,3.0,3,148.0
4030,Sarjapur  Road,1660.0,2.0,2.0,3,116.0
4031,Electronic City Phase II,1549.0,3.0,2.0,3,80.0
4032,Marathahalli,700.0,1.0,1.0,1,38.0
4033,Balagere,1012.0,2.0,1.0,2,64.0
4034,Marathahalli,1469.0,3.0,1.0,3,89.0
4035,Electronic City Phase II,1065.0,2.0,1.0,2,56.13
4036,Thanisandra,1411.0,3.0,1.0,3,93.15
4037,Pai Layout,1400.0,2.0,2.0,2,57.5
4038,Haralur Road,1245.0,2.0,3.0,2,62.0
4039,Choodasandra,1115.0,2.0,1.0,2,50.0
4040,Vidyaranyapura,1000.0,2.0,1.0,2,35.0
4041,other,1500.0,2.0,2.0,2,130.0
4042,Chandapura,645.0,1.0,1.0,1,16.45
4043,Kasavanhalli,1494.0,3.0,2.0,3,82.0
4044,Bhoganhalli,1949.0,3.0,2.0,3,129.0
4045,BTM Layout,1020.0,2.0,1.0,2,46.5
4046,Mysore Road,883.0,2.0,1.0,2,45.0
4047,other,2010.0,3.0,3.0,3,125.0
4048,Yeshwanthpur,1240.0,2.0,2.0,2,80.0
4049,6th Phase JP Nagar,1213.0,2.0,1.0,2,63.0
4050,Hegde Nagar,1835.0,3.0,3.0,3,88.0
4051,Whitefield,3425.0,5.0,2.0,4,250.0
4052,Gottigere,945.0,2.0,0.0,2,45.0
4053,other,1504.0,2.0,2.0,3,100.0
4054,Lakshminarayana Pura,1569.0,3.0,2.0,3,150.0
4055,Harlur,1755.0,3.0,2.0,3,130.0
4056,Hoodi,1240.0,2.0,3.0,2,43.94
4057,Electronics City Phase 1,1450.0,3.0,2.0,3,72.54
4058,5th Phase JP Nagar,1000.0,2.0,0.0,2,48.0
4059,Choodasandra,1215.0,2.0,2.0,2,59.0
4060,Raja Rajeshwari Nagar,1178.0,2.0,1.0,2,75.0
4061,Hulimavu,1500.0,4.0,3.0,4,192.0
4062,other,1602.0,2.0,1.0,3,165.0
4063,other,1200.0,4.0,1.0,4,130.0
4064,Parappana Agrahara,1194.0,2.0,2.0,2,46.0
4065,other,1800.0,3.0,1.0,3,220.0
4066,Dasarahalli,2400.0,2.0,1.0,3,152.0
4067,Sarjapur  Road,1700.0,3.0,3.0,3,108.0
4068,Jigani,1200.0,3.0,2.0,3,65.0
4069,Karuna Nagar,1240.0,3.0,2.0,3,165.0
4070,Whitefield,3000.0,3.0,2.0,3,400.0
4071,TC Palaya,900.0,2.0,0.0,2,55.0
4072,CV Raman Nagar,1560.0,2.0,2.0,2,85.0
4073,Kambipura,883.0,2.0,1.0,2,44.0
4074,Kengeri Satellite Town,750.0,2.0,1.0,2,33.0
4075,Hormavu,1030.0,2.0,1.0,2,49.35
4076,7th Phase JP Nagar,1850.0,3.0,2.0,3,155.0
4077,Hennur Road,1831.0,3.0,1.0,3,110.0
4078,7th Phase JP Nagar,1000.0,2.0,1.0,2,61.0
4079,Electronics City Phase 1,360.0,1.0,0.0,1,16.9
4080,Kadugodi,925.0,1.0,0.0,1,40.7
4081,Electronic City,1140.0,2.0,1.0,2,70.93
4082,other,1862.0,3.0,3.0,3,120.0
4083, Devarachikkanahalli,947.0,2.0,2.0,2,43.0
4084,Kalena Agrahara,1120.0,2.0,2.0,2,40.0
4085,other,2700.0,3.0,3.0,3,200.0
4086,Basavangudi,1100.0,2.0,3.0,2,93.0
4087,Bommenahalli,1355.0,3.0,0.0,4,135.0
4088,other,1677.0,3.0,2.0,3,98.0
4089,Uttarahalli,1560.0,3.0,3.0,3,74.0
4090,Arekere,2060.0,3.0,2.0,3,150.0
4091,Harlur,1864.0,3.0,1.0,3,140.0
4092,Electronics City Phase 1,638.0,1.0,1.0,1,32.0
4093,Chandapura,937.0,2.0,1.0,2,30.0
4094,other,1490.0,2.0,1.0,3,115.0
4095,Thigalarapalya,1000.0,2.0,2.0,2,48.53
4096,Horamavu Agara,1060.0,2.0,1.0,2,37.0
4097,Kundalahalli,1047.0,2.0,1.0,2,91.0
4098,Basaveshwara Nagar,1200.0,2.0,2.0,2,80.0
4099,Akshaya Nagar,1420.0,2.0,2.0,3,75.0
4100,Seegehalli,1553.0,3.0,3.0,3,68.0
4101,Electronic City Phase II,920.0,2.0,2.0,2,26.0
4102,other,1740.0,3.0,3.0,3,120.0
4103,OMBR Layout,1855.0,3.0,2.0,3,145.0
4104,Kundalahalli,1724.0,3.0,1.0,3,146.0
4105,Thubarahalli,1200.0,2.0,2.0,2,80.0
4106,Haralur Road,1140.0,2.0,2.0,2,58.0
4107,other,550.0,1.0,1.0,1,16.0
4108,Sarjapur  Road,1489.0,2.0,3.0,3,82.0
4109,Haralur Road,1140.0,2.0,2.0,2,42.0
4110,Lingadheeranahalli,1682.0,3.0,1.0,3,114.0
4111,Panathur,1198.0,2.0,1.0,2,86.26
4112,other,3664.0,3.0,2.0,3,325.0
4113,Kodichikkanahalli,1026.0,2.0,1.0,2,45.0
4114,Sarjapur  Road,539.0,1.0,1.0,1,45.0
4115,Attibele,2400.0,3.0,3.0,3,120.0
4116,Thubarahalli,1200.0,2.0,2.0,2,79.55
4117,Kundalahalli,2500.0,5.0,2.0,4,350.0
4118,other,1500.0,5.0,3.0,4,233.0
4119,Gottigere,1500.0,4.0,1.0,5,100.0
4120,Brookefield,1225.0,2.0,2.0,2,66.5
4121,Bommanahalli,1350.0,2.0,2.0,2,72.0
4122,other,1030.0,2.0,2.0,2,300.0
4123,other,1520.0,3.0,2.0,3,111.0
4124,Rachenahalli,1200.0,2.0,2.0,2,50.0
4125,other,1200.0,4.0,2.0,4,86.0
4126,other,2500.0,6.0,3.0,5,500.0
4127,Yelahanka,1322.0,2.0,2.0,2,80.0
4128,Whitefield,2173.0,3.0,2.0,3,128.0
4129,Sarjapur  Road,1200.0,2.0,2.0,2,75.0
4130,Thubarahalli,1200.0,2.0,2.0,2,47.0
4131,Mysore Road,1170.0,2.0,2.0,2,65.0
4132,NRI Layout,1125.0,2.0,2.0,2,45.56
4133,Devanahalli,698.5,1.0,0.0,1,28.57
4134,other,1250.0,2.0,2.0,2,90.0
4135,Chandapura,1025.0,2.0,2.0,2,27.68
4136,other,1900.0,2.0,2.0,3,190.0
4137,Electronics City Phase 1,1175.0,2.0,2.0,2,64.98
4138,Electronics City Phase 1,585.0,1.0,1.0,1,21.0
4139,Jigani,3170.0,5.0,2.0,4,230.0
4140,other,1602.0,2.0,1.0,3,170.0
4141,Rajaji Nagar,2500.0,3.0,3.0,3,350.0
4142,Sarjapur  Road,2145.0,3.0,3.0,3,180.0
4143,Bannerghatta Road,960.0,2.0,3.0,2,58.0
4144,NGR Layout,907.0,1.0,1.0,1,38.0
4145,Old Madras Road,1210.0,2.0,1.0,2,74.0
4146,5th Phase JP Nagar,1350.0,2.0,1.0,3,75.0
4147,Kenchenahalli,1150.0,2.0,2.0,2,58.0
4148,Sarjapur,1404.0,2.0,0.0,3,53.35
4149,OMBR Layout,1050.0,2.0,3.0,2,48.0
4150,Hormavu,1018.0,2.0,1.0,2,50.8
4151,Hoskote,1200.0,3.0,2.0,3,57.0
4152,other,1600.0,3.0,3.0,3,95.0
4153,9th Phase JP Nagar,1480.0,2.0,1.0,2,80.0
4154,Kaval Byrasandra,480.0,1.0,1.0,1,25.0
4155,other,450.0,1.0,2.0,1,60.0
4156,other,600.0,2.0,0.0,1,23.0
4157,CV Raman Nagar,1590.0,2.0,3.0,3,85.0
4158,Nagavara,936.0,2.0,0.0,2,40.2
4159,Banashankari,1181.0,2.0,1.0,2,75.0
4160,Kengeri,1741.0,3.0,2.0,3,80.0
4161,JP Nagar,1750.0,3.0,1.0,3,123.0
4162,Varthur Road,1050.0,2.0,2.0,2,42.7
4163,Tumkur Road,1027.0,2.0,1.0,2,60.0
4164,Sahakara Nagar,1000.0,2.0,1.0,2,60.0
4165,Varthur,1120.0,2.0,2.0,2,44.24
4166,other,1200.0,2.0,0.0,2,85.0
4167,Kasturi Nagar,1570.0,3.0,2.0,3,110.0
4168,Frazer Town,1315.0,2.0,2.0,2,140.0
4169,Electronic City Phase II,1140.0,2.0,1.0,2,33.84
4170,Banashankari,1105.0,2.0,2.0,2,90.0
4171,Whitefield,905.0,1.0,1.0,1,62.0
4172,HSR Layout,2400.0,4.0,0.0,4,350.0
4173,Kudlu Gate,1185.0,2.0,1.0,2,50.0
4174,Koramangala,1083.0,2.0,1.0,2,100.0
4175,Rayasandra,1458.0,3.0,2.0,3,60.0
4176,Hormavu,1555.0,3.0,2.0,3,75.0
4177,Kudlu,1024.0,2.0,2.0,2,44.0
4178,Parappana Agrahara,1194.0,2.0,2.0,2,47.0
4179,Kanakapura,1450.0,3.0,1.0,3,75.0
4180,Seegehalli,1639.0,3.0,3.0,3,120.0
4181,Whitefield,1870.0,3.0,2.0,3,138.0
4182,Hennur Road,1232.0,2.0,1.0,2,87.0
4183,Kasavanhalli,1719.0,3.0,1.0,3,184.0
4184,Jakkur,1230.0,2.0,1.0,2,79.0
4185,other,1350.0,4.0,2.0,4,140.0
4186,KR Puram,1076.0,2.0,2.0,2,67.0
4187,Kumaraswami Layout,2400.0,7.0,1.0,7,125.0
4188,Kodigehaali,2120.0,3.0,2.0,3,177.0
4189,Horamavu Agara,1107.83,2.0,1.0,2,41.51
4190,Chamrajpet,505.0,1.0,0.0,1,85.0
4191,Sarjapur  Road,1320.0,2.0,2.0,2,115.0
4192,8th Phase JP Nagar,1431.5,3.0,0.0,3,72.02
4193,Whitefield,1320.0,2.0,1.0,2,99.26
4194,Whitefield,2901.0,4.0,2.0,3,190.0
4195,GM Palaya,1315.0,2.0,2.0,3,65.0
4196,Whitefield,2403.0,4.0,2.0,4,270.0
4197,other,1175.0,2.0,2.0,2,79.0
4198,Talaghattapura,921.0,2.0,1.0,2,29.47
4199,Malleshwaram,4000.0,4.0,2.0,4,1100.0
4200,Sultan Palaya,1713.0,3.0,3.0,3,125.0
4201,8th Phase JP Nagar,1900.0,4.0,1.0,3,90.0
4202,Binny Pete,1795.0,3.0,2.0,3,139.0
4203,Kereguddadahalli,600.0,1.0,1.0,1,19.5
4204,Hoodi,1240.0,2.0,3.0,2,65.0
4205,Hegde Nagar,1965.0,4.0,2.0,3,132.0
4206,Sarjapur,4111.0,4.0,1.0,4,370.0
4207,Mahadevpura,1136.0,2.0,3.0,2,64.5
4208,Jigani,914.0,2.0,2.0,2,55.0
4209,Rachenahalli,1050.0,2.0,2.0,2,47.25
4210,Yelahanka,845.0,2.0,2.0,2,43.0
4211,Whitefield,1485.0,2.0,1.0,2,96.51
4212,Singasandra,1375.0,2.0,3.0,2,58.0
4213,Uttarahalli,1125.0,2.0,1.0,2,48.0
4214,Banashankari,720.0,1.0,1.0,1,60.0
4215,7th Phase JP Nagar,1460.0,2.0,2.0,3,100.0
4216,other,1158.0,2.0,3.0,2,75.0
4217,Yelachenahalli,800.0,1.0,1.0,2,30.0
4218,Bhoganhalli,1760.0,3.0,2.0,3,128.0
4219,other,600.0,3.0,2.0,2,145.0
4220,Frazer Town,1706.0,3.0,3.0,3,154.0
4221,BTM Layout,1600.0,3.0,2.0,3,112.0
4222,other,1200.0,2.0,0.0,2,90.0
4223,Whitefield,1755.0,3.0,3.0,3,101.0
4224,Hulimavu,1200.0,2.0,1.0,2,50.0
4225,BEML Layout,1200.0,2.0,2.0,2,67.0
4226,Sector 7 HSR Layout,1200.0,4.0,1.0,3,275.0
4227,2nd Phase Judicial Layout,1300.0,3.0,2.0,3,64.0
4228,Whitefield,4800.0,5.0,2.0,4,550.0
4229,Mysore Road,1029.5,2.0,0.0,2,50.855
4230,Raja Rajeshwari Nagar,1128.0,2.0,2.0,2,40.0
4231,other,2000.0,2.0,1.0,2,160.0
4232,Panathur,1210.0,2.0,1.0,2,80.0
4233,Raja Rajeshwari Nagar,1151.0,2.0,2.0,2,39.0
4234,HRBR Layout,1200.0,3.0,1.0,4,180.0
4235,Munnekollal,1750.0,3.0,3.0,3,86.5
4236,Dasanapura,1163.0,2.0,1.0,2,65.0
4237,7th Phase JP Nagar,1650.0,3.0,3.0,3,110.0
4238,CV Raman Nagar,1100.0,2.0,1.0,2,58.0
4239,R.T. Nagar,1200.0,2.0,2.0,2,60.0
4240,Begur Road,1933.0,3.0,2.0,3,98.0
4241,Begur Road,1200.0,2.0,2.0,2,45.6
4242,other,2679.0,5.0,2.0,4,280.0
4243,Horamavu Banaswadi,1156.0,2.0,2.0,2,46.9
4244,Kasavanhalli,770.0,1.0,1.0,1,43.82
4245,Ardendale,1777.26,3.0,2.0,3,105.0
4246,Kanakpura Road,1339.0,2.0,2.0,2,85.0
4247,Sarjapur  Road,3044.0,3.0,2.0,3,183.0
4248,Kothanur,1075.0,2.0,2.0,2,53.0
4249,Sarjapur  Road,1163.0,2.0,2.0,3,62.0
4250,TC Palaya,1200.0,2.0,0.0,2,65.0
4251,Hebbal,1299.0,2.0,1.0,2,100.0
4252,HRBR Layout,1170.0,2.0,2.0,2,75.0
4253,Yelahanka,2600.0,4.0,3.0,4,175.0
4254,KR Puram,1140.0,2.0,1.0,2,43.32
4255,Kanakpura Road,1900.0,3.0,3.0,3,125.0
4256,Bommasandra Industrial Area,1090.0,2.0,1.0,2,31.48
4257,Nagavarapalya,705.0,1.0,1.0,1,57.0
4258,HBR Layout,1089.0,2.0,1.0,2,60.0
4259,Kereguddadahalli,1080.0,2.0,2.0,2,32.0
4260,Thanisandra,1093.0,2.0,1.0,2,68.1
4261,Banashankari Stage III,1480.0,3.0,1.0,3,75.48
4262,Hegde Nagar,1703.0,3.0,2.0,3,125.0
4263,Hebbal,1200.0,2.0,1.0,2,60.0
4264,Marathahalli,1690.0,3.0,2.0,3,116.0
4265,Yelahanka,1305.0,2.0,1.0,2,78.0
4266,Anekal,1500.0,4.0,1.0,3,99.0
4267,Horamavu Agara,980.0,2.0,1.0,2,38.19
4268,Hosakerehalli,1200.0,2.0,1.0,3,100.0
4269,Whitefield,2225.0,3.0,1.0,3,149.0
4270,Narayanapura,1153.0,2.0,2.0,2,45.0
4271,Pai Layout,1175.0,2.0,2.0,2,60.0
4272,Yelahanka New Town,650.0,1.0,1.0,1,17.0
4273,Billekahalli,1350.0,3.0,2.0,2,55.0
4274,other,1200.0,2.0,1.0,2,76.0
4275,Chandapura,800.0,2.0,1.0,2,25.0
4276,Electronic City,2093.0,4.0,1.0,4,104.0
4277,Uttarahalli,1320.0,2.0,2.0,3,55.44
4278,Bannerghatta Road,1275.0,2.0,1.0,2,73.0
4279,Begur Road,1215.0,2.0,2.0,2,43.13
4280,Kanakapura,1130.0,2.0,1.0,2,45.2
4281,Begur Road,1444.0,2.0,2.0,3,71.5
4282,Banashankari Stage II,1240.0,2.0,2.0,3,59.52
4283,Hennur,1231.0,2.0,2.0,2,50.0
4284,Benson Town,1300.0,2.0,1.0,2,120.0
4285,Yeshwanthpur,1713.0,3.0,2.0,3,110.0
4286,Kogilu,1200.0,2.0,1.0,2,53.33
4287,Jalahalli,790.0,2.0,1.0,2,49.5
4288,Koramangala,1744.0,3.0,1.0,3,200.0
4289,other,1605.0,3.0,2.0,3,100.0
4290,Whitefield,1250.0,2.0,2.0,2,82.0
4291,Malleshwaram,2476.0,3.0,3.0,3,337.0
4292,Subramanyapura,1260.0,2.0,2.0,3,76.0
4293,Electronic City,1025.0,2.0,1.0,2,53.9
4294,Sarjapur  Road,1877.0,4.0,2.0,3,150.0
4295,Lakshminarayana Pura,1649.0,3.0,2.0,3,150.0
4296,Hennur,2500.0,5.0,2.0,5,125.0
4297,other,1542.0,3.0,2.0,3,98.0
4298,Thigalarapalya,1418.0,2.0,2.0,2,105.0
4299,Chandapura,1200.0,2.0,1.0,2,65.0
4300,Green Glen Layout,1680.0,4.0,3.0,3,95.0
4301,Old Madras Road,1171.0,2.0,2.0,2,72.0
4302,Tumkur Road,1027.0,2.0,1.0,2,68.62
4303,Shampura,1700.0,3.0,3.0,3,75.0
4304,Kanakapura,1090.0,2.0,2.0,2,38.15
4305,Hennur Road,1232.0,2.0,1.0,2,74.0
4306,Anekal,766.0,2.0,2.0,2,28.0
4307,Kanakpura Road,525.0,1.0,1.0,1,27.0
4308,Choodasandra,1254.0,2.0,1.0,3,65.0
4309,Kanakpura Road,1593.0,3.0,1.0,3,118.0
4310,other,1100.0,3.0,1.0,3,110.0
4311,Ardendale,1650.0,3.0,3.0,3,82.0
4312,Electronic City,940.0,2.0,1.0,2,54.0
4313,Electronic City,435.0,1.0,1.0,1,21.0
4314,Begur Road,1160.0,2.0,2.0,2,36.54
4315,Electronic City,1500.0,2.0,1.0,3,77.5
4316,other,1050.0,2.0,1.0,2,70.0
4317,Haralur Road,1027.0,2.0,2.0,2,43.0
4318,Seegehalli,3000.0,4.0,2.0,3,235.0
4319,Tumkur Road,1459.0,2.0,1.0,3,95.0
4320,Yelahanka,1711.0,3.0,3.0,3,85.61
4321,Hoodi,1250.0,2.0,2.0,2,98.0
4322,Chandapura,645.0,1.0,1.0,1,16.45
4323,Anandapura,875.0,2.0,1.0,2,57.0
4324,Ramamurthy Nagar,1334.0,2.0,1.0,2,67.0
4325,Thigalarapalya,2072.0,4.0,2.0,3,160.0
4326,Kundalahalli,1600.0,3.0,2.0,3,170.0
4327,Kengeri Satellite Town,920.0,2.0,3.0,2,39.0
4328,Chandapura,778.0,2.0,0.0,2,25.29
4329,Nagasandra,1310.0,3.0,3.0,4,95.0
4330,Electronic City,1631.0,3.0,2.0,3,80.0
4331,Kanakpura Road,525.0,1.0,1.0,1,27.5
4332,Hennur Road,1232.0,2.0,1.0,2,66.0
4333,Gubbalala,1205.0,2.0,2.0,2,70.0
4334,other,1200.0,4.0,2.0,4,165.0
4335,Rajiv Nagar,2340.0,5.0,1.0,4,129.0
4336,Rayasandra,1179.0,2.0,1.0,3,55.0
4337,Kodigehaali,1013.0,2.0,1.0,2,51.0
4338,Uttarahalli,1160.0,2.0,2.0,2,40.6
4339,7th Phase JP Nagar,1200.0,2.0,2.0,2,62.5
4340,other,1100.0,2.0,1.0,3,145.0
4341,other,1200.0,3.0,2.0,3,99.0
4342,Kudlu Gate,1400.0,1.0,1.0,1,285.0
4343,Marathahalli,1065.0,2.0,2.0,2,55.0
4344,Lakshminarayana Pura,1395.0,2.0,0.0,2,75.0
4345,Hebbal Kempapura,1725.0,2.0,1.0,3,165.0
